shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
10173,-20.286552,148.770305,340013
10173,-20.286421,148.770534,340014
10173,-20.286222,148.770831,340015
10173,-20.286085,148.771099,340016
10173,-20.286076,148.771135,340017
10173,-20.286076,148.771135,350001
10173,-20.286028,148.771317,350002
10173,-20.286033,148.771575,350003
10173,-20.286133,148.771865,350004
10173,-20.286232,148.772039,350005
10173,-20.286432,148.772195,350006
10173,-20.286778,148.772352,350007
10173,-20.287585,148.772559,350008
10173,-20.287931,148.772665,350009
10173,-20.288178,148.772794,350010
10173,-20.288377,148.772995,350011
10173,-20.288524,148.773219,350012
10173,-20.288629,148.773526,350013
10173,-20.288849,148.774359,350014
10173,-20.288970,148.774661,350015
10173,-20.289153,148.774913,350016
10173,-20.289400,148.775125,350017
10173,-20.289536,148.775190,350018
10173,-20.289756,148.775298,350019
10173,-20.289976,148.775377,350020
10173,-20.290244,148.775511,350021
10173,-20.290386,148.775640,350022
10173,-20.290480,148.775785,350023
10173,-20.290511,148.775958,350024
10173,-20.290485,148.776154,350025
10173,-20.290391,148.776383,350026
10173,-20.290244,148.776663,350027
10173,-20.290129,148.776931,350028
10173,-20.290066,148.777144,350029
10173,-20.289992,148.777418,350030
10173,-20.289898,148.777669,350031
10173,-20.289782,148.777887,350032
10173,-20.289179,148.778754,350033
10173,-20.289085,148.778938,350034
10173,-20.289017,148.779190,350035
10173,-20.289022,148.779503,350036
10173,-20.289116,148.779749,350037
10173,-20.289263,148.780001,350038
10173,-20.289626,148.780573,350039
10173,-20.289951,148.781043,350040
10173,-20.289951,148.781043,360001
10173,-20.290088,148.781241,360002
10173,-20.290600,148.781760,360003
10173,-20.290898,148.782130,360004
10173,-20.291044,148.782389,360005
10173,-20.291099,148.782656,360006
10173,-20.291062,148.782941,360007
10173,-20.290953,148.783207,360008
10173,-20.290800,148.783448,360009
10173,-20.290618,148.783687,360010
10173,-20.290478,148.783921,360011
10173,-20.290414,148.784102,360012
10173,-20.290403,148.784170,360013
10173,-20.290403,148.784170,370001
10173,-20.290387,148.784272,370002
10173,-20.290404,148.784412,370003
10173,-20.290483,148.784566,370004
10173,-20.290562,148.784664,370005
10173,-20.290680,148.784749,370006
10173,-20.290799,148.784795,370007
10173,-20.291031,148.784833,370008
10173,-20.292310,148.784903,370009
10173,-20.292398,148.784921,370010
10173,-20.292507,148.784959,370011
10173,-20.292591,148.785132,370012
10173,-20.292692,148.785519,370013
10173,-20.292678,148.785664,370014
10173,-20.292643,148.785730,370015
10173,-20.292564,148.785753,370016
10173,-20.291833,148.785884,370017
10173,-20.291776,148.785907,370018
10173,-20.291749,148.785949,370019
10173,-20.291749,148.786038,370020
10173,-20.292061,148.786529,370021
10173,-20.292109,148.786566,370022
10173,-20.292253,148.786566,370023
10173,-20.292407,148.786514,370024
10173,-20.292805,148.785874,370025
10173,-20.292987,148.785517,370026
10174,-20.289117,148.674614,10001
10174,-20.289005,148.673625,10002
10174,-20.288871,148.672436,10003
10174,-20.289625,148.672350,10004
10174,-20.291363,148.672367,10005
10174,-20.291739,148.675719,10006
10174,-20.289425,148.677332,10007
10174,-20.288454,148.677999,10008
10174,-20.287825,148.678507,10009
10174,-20.287744,148.678419,10010
10174,-20.287565,148.678534,10011
10174,-20.287188,148.678919,10012
10174,-20.287188,148.678919,20001
10174,-20.286964,148.679149,20002
10174,-20.286957,148.679161,20003
10174,-20.286960,148.679205,20004
10174,-20.287087,148.679325,20005
10174,-20.286898,148.679573,20006
10174,-20.286577,148.680107,20007
10174,-20.286255,148.680732,20008
10174,-20.286112,148.681103,20009
10174,-20.285874,148.681942,20010
10174,-20.285874,148.681942,30001
10174,-20.285601,148.682908,30002
10174,-20.285353,148.683661,30003
10174,-20.285163,148.684144,30004
10174,-20.284863,148.684746,30005
10174,-20.284515,148.685383,30006
10174,-20.284515,148.685383,40001
10174,-20.284356,148.685674,40002
10174,-20.283212,148.687732,40003
10174,-20.282785,148.688463,40004
10174,-20.282553,148.688823,40005
10174,-20.282343,148.689183,40006
10174,-20.282212,148.689321,40007
10174,-20.282190,148.689317,40008
10174,-20.282158,148.689321,40009
10174,-20.282127,148.689331,40010
10174,-20.282099,148.689349,40011
10174,-20.282075,148.689372,40012
10174,-20.282056,148.689400,40013
10174,-20.282043,148.689431,40014
10174,-20.282036,148.689465,40015
10174,-20.282037,148.689502,40016
10174,-20.281856,148.689688,40017
10174,-20.281503,148.689964,40018
10174,-20.280850,148.690326,40019
10174,-20.280850,148.690326,50001
10174,-20.280723,148.690397,50002
10174,-20.280111,148.690695,50003
10174,-20.279431,148.690976,50004
10174,-20.278571,148.691325,50005
10174,-20.278218,148.691493,50006
10174,-20.278001,148.691634,50007
10174,-20.277764,148.691848,50008
10174,-20.277542,148.692118,50009
10174,-20.277347,148.692477,50010
10174,-20.277184,148.692922,50011
10174,-20.277059,148.693242,50012
10174,-20.277034,148.693244,50013
